"SPE号","ATM数据","百分比","适配层/百分比例","VPI/VCI","承载格式","协议/端口","比例","主要IP","主要用户"
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 00A0; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G711 PCM U律","","数量：193045648字节, 比例：9.28% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 173B; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G711 PCM U律","","数量：192754336字节, 比例：9.26% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 009E; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30623134字节, 比例：1.47% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 009E; CID编号: 12","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30619380字节, 比例：1.47% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 009B; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30544940字节, 比例：1.47% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 009F; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G711 PCM U律","","数量：192984308字节, 比例：9.28% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 00A1; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G711 PCM U律","","数量：193030728字节, 比例：9.28% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 008D; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G711 PCM U律","","数量：193022184字节, 比例：9.28% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 0092; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30551572字节, 比例：1.47% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 008E; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G711 PCM U律","","数量：193000272字节, 比例：9.28% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 00A4; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G711 PCM U律","","数量：193011372字节, 比例：9.28% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 3CB0; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30551034字节, 比例：1.47% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 008C; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G711 PCM U律","","数量：193030000字节, 比例：9.28% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 3CB3; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30521912字节, 比例：1.47% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 3CB1; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30526978字节, 比例：1.47% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 3C93; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30518596字节, 比例：1.47% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 0098; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30553580字节, 比例：1.47% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 00A3; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30554092字节, 比例：1.47% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 0099; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30551872字节, 比例：1.47% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 00A2; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30551544字节, 比例：1.47% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 0093; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30553910字节, 比例：1.47% ","",""
"第2个STS SPE(45M)","有效数据","AAL数量: 156645824字节, 比例: 3.39%","AAL2数量: 86691750字节, 比例: 55.34%","0000: 390A; CID编号: 11","(2012-6-25)标准AAL2; CID承载业务G729","","数量：30526216字节, 比例：1.47% ","",""
