fileName,attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50,attr51,attr52,attr53,attr54,attr55,attr56,attr57,attr58,attr59,attr60,attr61,attr62,attr63,attr64,attr65,attr66,attr67,attr68,attr69,attr70,attr71,attr72,attr73,attr74,attr75,attr76,attr77,attr78,attr79,attr80,attr81,attr82,attr83,attr84,attr85,attr86,attr87,attr88,attr89,attr90,attr91,attr92
20120121-R06-81XX.csv,0,533,549,675,692,858,687,689,689,690,691,691,690,465,485,535,539,543,530,550,564,521,537,619,567,642,702,563,720,716,552,702,550,696,837,329,835,421,824,326,817,374,726,766,683,683,683,682,883,680,891,675,879,498,750,589,738,591,761,301,338,581,546,591,787,591,791,591,793,590,793,370,589,775,364,590,775,364,590,789,590,708,803,667,1023,665,1175,665,1189,665,1167,665,1159
20120121-R07-75XX.csv,533,0,448,556,571,777,566,568,568,569,570,570,569,366,386,436,440,444,431,451,465,422,438,520,448,543,603,444,621,617,433,603,431,597,738,214,736,302,725,213,718,261,627,667,562,562,562,561,794,559,802,554,790,379,651,468,639,470,662,232,237,462,447,470,688,470,692,470,694,469,694,257,468,676,251,469,676,251,469,690,469,589,860,548,924,546,1076,546,1090,546,1068,546,1060
20120121-R07-77XX.csv,549,448,0,590,607,793,602,604,604,605,606,606,605,382,402,452,456,460,447,467,481,438,454,536,482,559,619,478,637,633,467,619,465,613,754,244,752,336,741,241,734,289,643,679,598,598,598,597,810,595,818,590,806,413,667,504,655,506,678,248,219,496,463,506,704,506,708,506,710,505,710,285,504,692,279,505,692,279,505,702,505,623,876,582,936,580,1088,580,1102,580,1080,580,1072
20120121-R08-76XX.csv,675,556,590,0,713,919,708,710,710,711,712,712,711,508,528,578,582,586,573,593,607,564,580,662,590,685,745,586,763,759,575,745,573,739,880,354,878,444,867,353,860,405,769,809,704,704,704,703,936,701,944,696,932,521,793,610,781,612,804,374,379,598,589,612,830,612,834,612,836,611,836,393,610,818,387,611,818,387,611,832,611,731,1002,690,1066,688,1218,688,1232,688,1210,688,1202
20120122-R05-72XX.csv,692,571,607,713,0,936,29,81,81,82,83,83,82,525,545,595,599,603,590,610,624,581,597,679,589,702,762,585,780,776,530,762,528,756,897,369,895,451,884,368,877,392,786,826,87,87,87,86,953,88,961,87,949,252,810,189,798,191,821,391,396,619,606,193,847,193,851,193,853,192,853,414,191,835,408,192,835,408,192,849,192,632,1019,597,1083,595,1235,595,1249,595,1227,595,1219
20120122-R05-73XX.csv,858,777,793,919,936,0,931,933,933,934,935,935,934,665,677,755,759,759,750,766,776,745,757,847,811,870,938,807,948,944,796,926,794,924,1065,573,1071,665,1060,570,1053,618,970,1010,927,927,927,926,813,924,821,919,817,742,870,833,858,835,881,577,582,825,720,835,907,835,911,835,913,834,913,614,833,895,608,834,895,608,834,909,834,952,1097,911,1267,909,1419,909,1433,909,1411,909,1403
20120123-R05-72XX.csv,687,566,602,708,29,931,0,64,64,65,66,66,65,520,540,590,594,598,585,605,619,576,592,674,584,697,757,580,775,771,525,757,523,751,892,364,890,446,879,363,872,387,781,821,78,78,82,81,948,83,956,82,944,247,805,184,793,186,816,386,391,614,601,188,842,188,846,188,848,187,848,409,186,830,403,187,830,403,187,844,187,627,1014,592,1078,590,1230,590,1244,590,1222,590,1214
20120124-R05-72XX.csv,689,568,604,710,81,933,64,0,0,51,52,52,51,522,542,592,596,600,587,607,621,578,594,676,586,699,759,582,777,773,527,759,525,753,894,366,892,448,881,365,874,389,783,823,64,64,68,79,950,81,958,84,946,249,807,186,795,188,818,388,393,616,603,190,844,190,848,190,850,189,850,411,188,832,405,189,832,405,189,846,189,629,1016,594,1080,592,1232,592,1246,592,1224,592,1216
20120125-R05-72XX.csv,689,568,604,710,81,933,64,0,0,51,52,52,51,522,542,592,596,600,587,607,621,578,594,676,586,699,759,582,777,773,527,759,525,753,894,366,892,448,881,365,874,389,783,823,64,64,68,79,950,81,958,84,946,249,807,186,795,188,818,388,393,616,603,190,844,190,848,190,850,189,850,411,188,832,405,189,832,405,189,846,189,629,1016,594,1080,592,1232,592,1246,592,1224,592,1216
20120126-R05-72XX.csv,690,569,605,711,82,934,65,51,51,0,1,1,0,523,543,593,597,601,588,608,622,579,595,677,587,700,760,583,778,774,528,760,526,754,895,367,893,449,882,366,875,390,784,824,13,13,17,28,951,30,959,35,947,200,808,137,796,137,819,389,394,617,604,139,845,139,849,139,851,138,851,412,139,833,406,140,833,406,140,847,140,628,1017,593,1081,593,1233,593,1247,593,1225,593,1217
20120127-R05-72XX.csv,691,570,606,712,83,935,66,52,52,1,0,0,1,524,544,594,598,602,589,609,623,580,596,678,588,701,761,584,779,775,529,761,527,755,896,368,894,450,883,367,876,391,785,825,12,12,16,29,952,31,960,36,948,201,809,138,797,138,820,390,395,618,605,140,846,140,850,140,852,139,852,413,140,834,407,141,834,407,141,848,141,629,1018,594,1082,594,1234,594,1248,594,1226,594,1218
20120128-R05-72XX.csv,691,570,606,712,83,935,66,52,52,1,0,0,1,524,544,594,598,602,589,609,623,580,596,678,588,701,761,584,779,775,529,761,527,755,896,368,894,450,883,367,876,391,785,825,12,12,16,29,952,31,960,36,948,201,809,138,797,138,820,390,395,618,605,140,846,140,850,140,852,139,852,413,140,834,407,141,834,407,141,848,141,629,1018,594,1082,594,1234,594,1248,594,1226,594,1218
20120129-R05-72XX.csv,690,569,605,711,82,934,65,51,51,0,1,1,0,523,543,593,597,601,588,608,622,579,595,677,587,700,760,583,778,774,528,760,526,754,895,367,893,449,882,366,875,390,784,824,13,13,17,28,951,30,959,35,947,200,808,137,796,137,819,389,394,617,604,139,845,139,849,139,851,138,851,412,139,833,406,140,833,406,140,847,140,628,1017,593,1081,593,1233,593,1247,593,1225,593,1217
20120601-R05-73XX.csv,465,366,382,508,525,665,520,522,522,523,524,524,523,0,88,198,194,202,205,225,227,210,220,390,400,409,489,396,495,491,385,477,383,471,612,162,628,254,617,159,610,207,547,595,516,516,516,515,706,513,714,508,702,331,579,422,567,424,590,166,171,414,379,424,616,424,620,424,622,423,622,203,422,604,197,423,604,197,423,618,423,541,760,500,856,498,1008,498,1022,498,1000,498,992
20120602-R05-73XX.csv,485,386,402,528,545,677,540,542,542,543,544,544,543,88,0,190,186,202,213,229,235,218,224,410,420,429,509,416,515,511,405,497,403,491,632,182,648,274,637,179,630,227,567,615,536,536,536,535,698,533,706,528,698,351,575,442,563,444,590,186,191,434,395,444,616,444,620,444,622,443,622,223,442,608,217,443,608,217,443,622,443,561,780,520,876,518,1028,518,1042,518,1020,518,1012
20120603-R05-73XX.csv,535,436,452,578,595,755,590,592,592,593,594,594,593,198,190,0,64,76,91,115,125,186,188,448,470,471,547,466,561,557,455,543,453,537,678,232,690,324,679,229,672,277,617,661,586,586,586,585,740,583,748,578,736,401,621,492,609,494,640,236,241,484,449,494,666,494,670,494,672,493,672,273,492,658,267,493,658,267,493,672,493,611,850,570,914,568,1066,568,1080,568,1058,568,1050
20120605-R05-73XX.csv,539,440,456,582,599,759,594,596,596,597,598,598,597,194,186,64,0,72,95,115,125,190,192,452,474,471,551,470,561,553,459,547,457,533,674,236,694,328,683,233,676,281,621,669,590,590,590,589,736,587,744,582,732,405,617,496,605,498,636,240,245,488,449,498,662,498,666,498,668,497,668,277,496,654,271,497,654,271,497,668,497,615,850,574,918,572,1070,572,1084,572,1062,572,1054
20120606-R05-73XX.csv,543,444,460,586,603,759,598,600,600,601,602,602,601,202,202,76,72,0,99,115,121,194,196,452,478,471,555,474,561,553,463,547,461,533,674,240,698,332,687,237,680,285,625,673,594,594,594,593,744,591,752,586,740,409,613,500,601,502,636,244,249,492,449,502,662,502,666,502,668,501,668,281,500,654,275,501,654,275,501,676,501,619,854,578,922,576,1074,576,1088,576,1066,576,1058
20120607-R05-73XX.csv,530,431,447,573,590,750,585,587,587,588,589,589,588,205,213,91,95,99,0,80,94,159,161,441,465,464,540,461,554,550,450,536,448,530,671,227,683,319,672,224,665,272,610,644,581,581,581,580,743,578,751,573,739,396,596,487,584,489,615,231,236,479,436,489,633,489,637,489,639,488,639,268,487,633,262,488,633,262,488,671,488,606,853,565,905,563,1057,563,1071,563,1049,563,1041
20120608-R05-73XX.csv,550,451,467,593,610,766,605,607,607,608,609,609,608,225,229,115,115,115,80,0,102,179,173,461,485,480,560,481,570,566,470,556,468,546,687,247,703,339,692,244,685,292,630,660,601,601,601,600,755,598,763,593,751,416,584,507,572,509,599,251,256,499,444,509,621,509,625,509,627,508,627,288,507,617,282,508,617,282,508,679,508,626,869,585,925,583,1077,583,1091,583,1069,583,1061
20120609-R05-73XX.csv,564,465,481,607,624,776,619,621,621,622,623,623,622,227,235,125,125,121,94,102,0,169,171,471,499,490,570,495,580,576,484,562,482,556,697,261,717,353,706,258,699,306,644,682,615,615,615,614,773,612,781,607,769,430,630,521,618,523,621,265,270,513,458,523,643,523,647,523,649,522,649,302,521,639,296,522,639,296,522,697,522,640,875,599,939,597,1091,597,1105,597,1083,597,1075
20120610-R05-73XX.csv,521,422,438,564,581,745,576,578,578,579,580,580,579,210,218,186,190,194,159,179,169,0,90,432,456,455,535,452,553,549,441,535,439,529,670,218,678,310,667,215,660,263,601,639,572,572,572,571,750,569,758,564,746,387,603,478,591,480,606,222,227,470,431,480,628,480,632,480,634,479,634,259,478,600,253,479,600,253,479,570,479,597,848,556,904,554,1056,554,1070,554,1048,554,1040
20120611-R05-73XX.csv,537,438,454,580,597,757,592,594,594,595,596,596,595,220,224,188,192,196,161,173,171,90,0,438,472,457,541,468,555,551,457,541,455,531,672,234,688,326,677,231,670,279,615,655,588,588,588,587,754,585,762,580,750,403,607,494,595,496,610,238,243,486,447,496,632,496,636,496,638,495,638,275,494,600,269,495,600,269,495,616,495,613,860,572,920,570,1072,570,1086,570,1064,570,1056
20120612-R05-73XX.csv,619,520,536,662,679,847,674,676,676,677,678,678,677,390,410,448,452,452,441,461,471,432,438,0,554,103,371,550,377,381,539,423,537,479,620,316,704,408,693,313,686,361,651,677,670,670,670,669,868,667,876,662,864,485,729,576,717,578,740,320,325,568,533,578,766,578,770,578,772,577,772,357,576,754,351,577,754,351,577,764,577,695,918,654,990,652,1142,652,1156,652,1134,652,1126
20120613-R05-72XX.csv,567,448,482,590,589,811,584,586,586,587,588,588,587,400,420,470,474,478,465,485,499,456,472,554,0,577,637,20,655,651,173,637,171,631,772,240,770,320,759,243,752,295,661,701,580,580,580,579,828,577,836,572,824,409,685,486,673,488,696,266,271,496,481,488,722,488,726,488,728,487,728,289,486,710,283,487,710,283,487,724,487,609,894,568,958,566,1110,566,1124,566,1102,566,1094
20120613-R05-73XX.csv,642,543,559,685,702,870,697,699,699,700,701,701,700,409,429,471,471,471,464,480,490,455,457,103,577,0,372,573,374,378,562,424,560,480,613,339,715,431,704,336,697,384,674,700,693,693,693,692,887,690,895,685,883,508,748,599,736,601,763,343,348,591,556,601,789,601,793,601,795,600,795,380,599,773,374,600,773,374,600,783,600,718,929,677,1021,675,1173,675,1187,675,1165,675,1157
20120614-R05-73XX.csv,702,603,619,745,762,938,757,759,759,760,761,761,760,489,509,547,551,555,540,560,570,535,541,371,637,372,0,633,26,38,622,84,620,136,337,399,767,491,756,396,749,444,734,820,753,753,753,752,955,750,963,745,951,568,812,659,800,661,823,403,408,651,616,661,849,661,853,661,855,660,855,440,659,837,434,660,837,434,660,851,660,778,993,737,1089,735,1241,735,1255,735,1233,735,1225
20120615-R05-72XX.csv,563,444,478,586,585,807,580,582,582,583,584,584,583,396,416,466,470,474,461,481,495,452,468,550,20,573,633,0,651,647,157,633,167,627,768,236,766,316,755,239,748,291,657,697,576,576,576,575,824,573,832,568,820,405,681,482,669,484,692,262,267,492,477,484,718,484,722,484,724,483,724,285,482,706,279,483,706,279,483,720,483,605,890,564,954,562,1106,562,1120,562,1098,562,1090
20120615-R05-73XX.csv,720,621,637,763,780,948,775,777,777,778,779,779,778,495,515,561,561,561,554,570,580,553,555,377,655,374,26,651,0,28,640,82,638,138,335,417,785,509,774,414,767,462,752,834,771,771,771,770,973,768,981,763,969,586,830,677,818,679,841,421,426,669,634,679,867,679,871,679,873,678,873,458,677,855,452,678,855,452,678,869,678,796,999,755,1107,753,1259,753,1273,753,1251,753,1243
20120616-R05-73XX.csv,716,617,633,759,776,944,771,773,773,774,775,775,774,491,511,557,553,553,550,566,576,549,551,381,651,378,38,647,28,0,636,70,634,126,323,413,781,505,770,410,763,458,748,830,767,767,767,766,965,764,973,759,961,582,822,673,810,675,833,417,422,665,630,675,859,675,863,675,865,674,865,454,673,847,448,674,847,448,674,861,674,792,1003,751,1103,749,1255,749,1269,749,1247,749,1239
20120617-R05-72XX.csv,552,433,467,575,530,796,525,527,527,528,529,529,528,385,405,455,459,463,450,470,484,441,457,539,173,562,622,157,640,636,0,622,30,616,757,223,755,297,744,226,737,210,646,686,521,521,521,520,813,518,821,513,809,368,670,427,658,429,681,251,256,481,466,429,707,429,711,429,713,428,713,274,427,695,268,428,695,268,428,709,428,550,879,521,943,519,1095,519,1109,519,1087,519,1079
20120617-R05-73XX.csv,702,603,619,745,762,926,757,759,759,760,761,761,760,477,497,543,547,547,536,556,562,535,541,423,637,424,84,633,82,70,622,0,620,88,285,399,739,491,724,396,721,444,726,812,753,753,753,752,955,750,963,745,951,568,812,659,800,661,823,403,408,651,616,661,849,661,853,661,855,660,855,440,659,837,434,660,837,434,660,851,660,778,989,737,1085,735,1241,735,1255,735,1233,735,1225
20120618-R05-72XX.csv,550,431,465,573,528,794,523,525,525,526,527,527,526,383,403,453,457,461,448,468,482,439,455,537,171,560,620,167,638,634,30,620,0,614,755,221,753,295,742,224,735,208,644,684,519,519,519,518,811,516,819,511,807,366,668,425,656,427,679,249,254,479,464,427,705,427,709,427,711,426,711,272,425,693,266,426,693,266,426,707,426,548,877,519,941,517,1093,517,1107,517,1085,517,1077
20120618-R05-73XX.csv,696,597,613,739,756,924,751,753,753,754,755,755,754,471,491,537,533,533,530,546,556,529,531,479,631,480,136,627,138,126,616,88,614,0,217,393,729,485,714,390,711,438,720,806,747,747,747,746,941,744,949,739,941,562,802,653,790,655,813,397,402,645,610,655,839,655,843,655,845,654,845,434,653,827,428,654,827,428,654,841,654,772,983,731,1075,729,1231,729,1245,729,1223,729,1215
